ID Prospect,Nome do Prospect,Razão Social,CNPJ,Contato Principal,E-mail,Telefone,Cidade,Estado,CEP,Bairro,Rua,Complemento,País,Origem,Funil,Etapa do Funil,Responsável,Ativo,Enriquecido,Data de Enriquecimento,Data de Criação,Hora de Criação,Data de Atualização,Hora de Atualização,Data de Perda,Motivo de Perda,TAGS,Código Externo,ID Lista,Departamento,Atividade,Faturamento,Segmento,Nome Completo,Indique Ganhe
2316,Dispafilm Do Brasil Ltda,Dispafilm Do Brasil Ltda,68871912000415,Dispafilm Do Brasil Ltda,junio@dispafilm.com.br,(11) 3296-7802,AMERICANA,SP,13473625,VILA BERTINI,AVENIDA NICOLAU JOAO ABDALLA,GALPAO: 02;,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,04/07/2025,10:53:47,04/07/2025,10:53:47,,,,,,,,,,,
2320,Hl Filmes Flexiveis Industria E Comercio Ltda,Hl Filmes Flexiveis Industria E Comercio Ltda,23218215000189,Hl Filmes Flexiveis Industria E Comercio Ltda,contato@embalagenshl.com.br,(19) 3468-2080,AMERICANA,SP,13470900,MORADA DO SOL,AVENIDA SAO JERONIMO,BLOCO 2B,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,04/07/2025,11:01:29,04/07/2025,11:01:29,,,,,,,,,,,
2270,Brinqpet Industria E Comercio De Artigos Para Animais Domesticos Ltda,Brinqpet Industria E Comercio De Artigos Para Animais Domesticos Ltda,35469298000168,RODRIGO CESAR DA CRUZ,rodrigo@brinquepet.com,(16) 3416-3938,SAO CARLOS,SP,13573420,CEAT,AVENIDA ANTONIO MARTINEZ CARRERA FILHO,,,Base de empresas Leads2b,Prospect,Enriquecido,Junior Lopes,,1,22/07/2025,30/06/2025,09:11:07,22/07/2025,09:15:04,,,,,,,,,,,
2297,Acrel Distribuidora De Mangueiras Ltda,Acrel Distribuidora De Mangueiras Ltda,00101571000546,Acrel Distribuidora De Mangueiras Ltda,contabilidade@acrelnet.com.br,(49) 3433-2995,XANXERE,SC,89820000,LINHA SAO SEBASTIAO,RUA ANGELO ALBINO FERRONATO,,,Base de empresas Leads2b,Prospect,Enriquecido,Junior Lopes,,1,23/07/2025,02/07/2025,12:48:58,23/07/2025,09:40:41,,,,,,,,,,,
2376,Distrinox Distribuidora De Artefatos Agricolas E Seguranca Ltda,Distrinox Distribuidora De Artefatos Agricolas E Seguranca Ltda,04962325000106,Distrinox Distribuidora De Artefatos Agricolas E Seguranca Ltda,distrinox@distrinox.com.br,(16) 3969-8080,RIBEIRAO PRETO,SP,14076410,INDEPENDENCIA,AV MOGIANA,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,23/07/2025,17:00:46,23/07/2025,17:00:46,,,,,,,,,,,
2382,Drogaria Nova Esperanca Ltda,Drogaria Nova Esperanca Ltda,43575877000466,Drogaria Nova Esperanca Ltda,thiago@drogarianovaesperanca.com.br,(11) 3991-0622,SAO PAULO,SP,05307000,VILA RIBEIRO DE BARROS,RUA MAJ PALADINO,GALPAO06/07,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,23/07/2025,17:05:41,23/07/2025,17:05:41,,,,,,,,,,,
2384,Capricho Distribuidora Importacao E Exportacao Ltda,Capricho Distribuidora Importacao E Exportacao Ltda,55321475000171,Capricho Distribuidora Importacao E Exportacao Ltda,caprichoimports@gmail.com,(11) 4201-2516,COTIA,SP,06707065,GRANJA VIANA II,R PACIFICO,GALPAO01,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,23/07/2025,17:16:44,23/07/2025,17:16:44,,,,,,,,,,,
2305,Angelplas Industria E Comercio Ltda,Angelplas Industria E Comercio Ltda,02498846000129,Angelplas Industria E Comercio Ltda,financeiro@angelplas.com.br,(19) 3268-6823,CAMPINAS,SP,13051110,JARDIM DAS BANDEIRAS,R ALTINO ARANTES,,,Base de empresas Leads2b,Prospect,Recontato,Junior Lopes,,2,,04/07/2025,10:24:45,24/07/2025,09:44:19,,,,,,,,,,,
2300,Degam Embalagens Ltda,Degam Embalagens Ltda,09160294000193,Degam Embalagens Ltda,lista-societario@visualassessoria.com.br,(19) 3471-0670,AMERICANA,SP,13478722,JARDIM WERNER PLAAS,RUA DO MARCENEIRO,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,3,,04/07/2025,10:21:36,24/07/2025,09:47:20,24/07/2025,Lead fora de perfil,,,,,,,,,
2290,Niquelplast Industria E Comercio De Artefatos De Plastico E Aramados Ltda,Niquelplast Industria E Comercio De Artefatos De Plastico E Aramados Ltda,08832177000166,ALEXANDRE ANDRE ROSSETTI,alexandre@niquelart.com.br,(19) 3852-9300 ,PEDREIRA,SP,13928560,DISTRITO INDUSTRIAL PREFEITO JOSE CARLOS LENA,RUA DIVO ORLANDI BERNARDIN,,,Base de empresas Leads2b,Prospect,Recontato,Junior Lopes,,2,,30/06/2025,17:22:31,24/07/2025,11:36:53,,,,,,,,,,,
2284,Mrf Industria E Comercio De Plasticos Ltda,Mrf Industria E Comercio De Plasticos Ltda,08615230000177,FABIO RODRIGO DE OLIVEIRA,fabio@plastbon.com.br,(19) 3893-1308 ,PEDREIRA,SP,13920000,JD. TRIUNFO,RUA CAMPINAS,,,Base de empresas Leads2b,Prospect,Recontato,Junior Lopes,,2,,30/06/2025,16:41:02,24/07/2025,12:05:29,,,,,,,,,,,
2366,Buschle & Lepper Sa,Buschle & Lepper Sa,84684471000156,Buschle & Lepper Sa,juridico@buschle.com.br,(47) 3461-2700,JOINVILLE,SC,89202406,BUCAREIN,R INACIO BASTOS,,,Base de empresas Leads2b,Prospect,Recontato,Junior Lopes,,2,,23/07/2025,15:51:23,24/07/2025,14:50:16,,,,,,,,,,,
2378,Dismax Distribuicao E Representacao De Produtos E Generos Alimenticios Ltda,Dismax Distribuicao E Representacao De Produtos E Generos Alimenticios Ltda,08712676000110,Dismax Distribuicao E Representacao De Produtos E Generos Alimenticios Ltda,contasapagar@dismax.com.br,(11) 5563-5971,MAUA,SP,09380000,CAPUAVA,AV ALBERTO SOARES SAMPAIO,GALPAOLOGISTIC MODULO A10,,Base de empresas Leads2b,Prospect,Recontato,Junior Lopes,,2,,23/07/2025,17:04:59,25/07/2025,12:18:41,,,,,,,,,,,
2387,Mel Correa & Correa Ltda,Mel Correa & Correa Ltda,71998363000106,Mel Correa & Correa Ltda,null,,SAO CARLOS,SP,13564800,ZONA RURAL,RODOVIA WASHINGTON LUIZ,KM 225,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,3,,24/07/2025,09:59:57,25/07/2025,15:08:32,25/07/2025,Lead fora de perfil,,,,,,,,,
2318,Ladislau Industria E Comercio De Embalagens Ltda,Ladislau Industria E Comercio De Embalagens Ltda,08141070000171,Ladislau Industria E Comercio De Embalagens Ltda,embalagenshl@embalagenshl.com.br,(19) 3406-6955,AMERICANA,SP,13470900,MORADA DO SOL,AVENIDA SAO JERONIMO,BLOCO 2B-1,,Base de empresas Leads2b,Prospect,Recontato,Junior Lopes,,2,,04/07/2025,10:59:58,25/07/2025,15:13:14,,,,,,,,,,,
2294,Plasdorta Industria E Comercio Ltda,Plasdorta Industria E Comercio Ltda,37933541000182,Plasdorta Industria E Comercio Ltda,contabil@jzonline.com.br,(19) 3807-9414,PEDREIRA,SP,13920000,DISTRITO INDUSTRIAL PREFEITO JOSE CARLOS LENA,RUA JOSE APARECIDO MORETTO,,,Base de empresas Leads2b,Prospect,Recontato,Junior Lopes,,2,,30/06/2025,17:42:55,28/07/2025,15:32:36,,,,,,,,,,,
2309,Milcam Plastic Industria E Comercio Ltda,Milcam Plastic Industria E Comercio Ltda,96509674000195,Milcam Plastic Industria E Comercio Ltda,milene@milcam.com.br,(19) 3469-9000,AMERICANA,SP,13474750,SALTO GRANDE,AVENIDA JOSE FORTUNATO SANTON,ANEXO NUM 182,,Base de empresas Leads2b,Prospect,Recontato,Junior Lopes,,2,,04/07/2025,10:50:02,28/07/2025,15:59:22,,,,,,,,,,,
2396,Toyster Brinquedos Ltda,Toyster Brinquedos Ltda,58338690000173,Toyster Brinquedos Ltda,contabilidade@toyster.com,(11) 3604-5537,OSASCO,SP,06233120,JARDIM PIRATININGA,R HENRIQUE DIAS,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,24/07/2025,17:00:37,28/07/2025,16:07:04,,,,,,,,,,,
2347,Aero Space Artigos Para Festas Ltda,Aero Space Artigos Para Festas Ltda,37767010000167,Aero Space Artigos Para Festas Ltda,brunobenevento@nybc.com.br,(11) 3961-0146,ITAJAI,SC,88307990,CANHANDUBA,RUA JOAO THOMAZ PINTO,GALPAO03 SALA 06 A,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,3,07/08/2025,16/07/2025,15:47:10,20/08/2025,09:10:13,20/08/2025,Não foi possível primeiro contato,,,,,,,,,
2393,Industria De Plasticos Inplast Ltda,Industria De Plasticos Inplast Ltda,46409975000179,Industria De Plasticos Inplast Ltda,null,(19) 3852-9700,PEDREIRA,SP,13920000,VL SAO PEDRO,AV DR SYLVIO DE A MAYA,,,Base de empresas Leads2b,Prospect,Recontato,Junior Lopes,,2,,24/07/2025,15:24:22,11/11/2025,16:56:40,,,,,,,,,,,
2317,Zaraplast S.a,Zaraplast S.a,61827663001574,Zaraplast S.a,jluiz@zaraplast.com.br,(11) 3933-7755,SANTA BARBARA D'OESTE,SP,13457164,CONJUNTO HABITACIONAL FRANCISCO DE CILLO (INOCOOP),RUA JOAO BRAULINO,,,Base de empresas Leads2b,Prospect,Recontato,Junior Lopes,,2,,04/07/2025,10:58:51,11/11/2025,17:06:53,,,,,,,,,,,
2287,Industria E Comercio De Aluminios Santa Clara Ltda,Industria E Comercio De Aluminios Santa Clara Ltda,51999720000143,Industria E Comercio De Aluminios Santa Clara Ltda,tatiana@santaclaraaluminios.com.br,(19) 3893-3276,PEDREIRA,SP,13920000,SANTA CRUZ,EST MUNICIPAL JULIO PERON,GALPAOA,,Base de empresas Leads2b,Prospect,Enriquecido,Junior Lopes,,1,23/07/2025,30/06/2025,16:43:35,09/12/2025,22:28:12,,,,,,,,,,,
2293,Maria Rita Barbosa De Andrade,Maria Rita Barbosa De Andrade,05467660000109,Maria Rita Barbosa De Andrade,artefatosdemadeirasj@hotmail.com,(19) 3893-2101,PEDREIRA,SP,13920000,PARQUE INDUSTRIAL,RUA HAMILTON BERNARDES,,,Base de empresas Leads2b,Prospect,Recontato,Junior Lopes,,2,,30/06/2025,17:34:07,09/12/2025,22:28:12,,,,,,,,,,,
2406,Regina Industria E Comercio S/a,Regina Industria E Comercio S/a,52005378000181,Regina Industria E Comercio S/a,contabilidade@reginafestas.com.br,(18) 3229-5018,PRESIDENTE PRUDENTE,SP,19053300,JARDIM ALTO B VISTA,AV JOAQUIM CONSTANTINO,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Junior Lopes,,0,,24/07/2025,17:06:23,19/05/2026,09:03:54,,,,,,,,,,,
2416,A5 Importadora Ltda,A5 Importadora Ltda,33666474000207,A5 Importadora Ltda,andre@a5distribuidora.com.br,(46) 3547-1532,DIONISIO CERQUEIRA,SC,89950000,CENTRO,RUA PRESIDENTE VARGAS,BOX 0035,,Base de empresas Leads2b,Prospect,Enriquecido,Junior Lopes,,1,29/07/2025,29/07/2025,16:23:22,29/07/2025,16:24:38,,,,,,,,,,,
2672,Prime Variedades Ltda,Prime Variedades Ltda,38091322000166,Prime Variedades Ltda,distribuidoraprime067@gmail.com,(67) 9313-2586,CAMPO GRANDE,MS,79093290,JARDIM SAO CONRADO,AVENIDA GENERAL ALBERTO CARLOS MENDONCA LIMA,,,Base de empresas Leads2b,Prospect,Enriquecido,Junior Lopes,,1,22/10/2025,22/10/2025,16:11:28,14/05/2026,10:59:23,,,,,,,,,,,
2674,Infinita Multicoisas Ltda,Infinita Multicoisas Ltda,32184030000191,JONATHAN JUSTE,null,(16) 99242-5257,SAO CARLOS,SP,13563651,JARDIM IPANEMA,AVENIDA ROMUALDO VILLANI,SALA 3,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,23/10/2025,10:23:22,20/05/2026,16:37:35,,,WhatsappRayssa,,,,,,,,
2676,Bella & Co. Ltda,Bella & Co. Ltda,72344591000125,Bella & Co. Ltda,rogeriobaby@bellajanela.com.br,(47) 3221-3800,BLUMENAU,SC,89027000,PROGRESSO,RUA PROGRESSO,,,Base de empresas Leads2b,Prospect,Recontato,Rayssa Karapeticov,,3,,23/10/2025,11:50:56,19/11/2025,10:03:00,19/11/2025,Lead está sem interesse,WhatsappRayssa,,,,,,,,
2720,Big Universo Comercio Importacao E Exportacao Ltda,Big Universo Comercio Importacao E Exportacao Ltda,00715226000179,Big Universo Comercio Importacao E Exportacao Ltda,contasapagar@cliostyle.com.br,(21) 2221-8545,RIO DE JANEIRO,RJ,20081000,CENTRO,RUA ACRE,SAL 504,,Base de empresas Leads2b,Prospect,Não Enriquecido,Rayssa Karapeticov,,3,,31/10/2025,16:34:14,10/11/2025,11:40:38,10/11/2025,O contato foi perdido,,,,,,,,,
2694,Naxos Industria E Comercio De Utilidades Domesticas Ltda,Naxos Industria E Comercio De Utilidades Domesticas Ltda,05455435000144,Naxos Industria E Comercio De Utilidades Domesticas Ltda,naxos@naxos.net.br,(47) 3525-3040,RIO DO SUL,SC,89161000,BREMER,ESTRADA BLUMENAU,SETOR 1,,Base de empresas Leads2b,Prospect,Recontato,Rayssa Karapeticov,,3,,29/10/2025,17:47:15,19/11/2025,10:37:25,19/11/2025,Lead está sem interesse,WhatsappRayssa,,,,,,,,
2743,Engecer Ltda.,Engecer Ltda.,54830062000150,Engecer Ltda.,administracao@engecer.com.br,(16) 3362-6750,SAO CARLOS,SP,13562110,PLANALTO PARAISO,RUA NOSSA SENHORA AUXILIADORA,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Rayssa Karapeticov,,3,,07/11/2025,16:29:02,24/11/2025,15:37:33,24/11/2025,Lead está sem interesse,WhatsappRayssa;fimzap,,,,,,,,
2802,Paulo teste ,Teste,,Paulo teste ,,(16) 99113-0077,,,,,,,,,Prospect,Não Enriquecido,Paulo Souza,,0,17/11/2025,17/11/2025,09:02:45,26/11/2025,11:10:37,,,fimzap;zapPaulo,,,,,,,,
2747,Buddy Toys Produtos De Pet Shop Ltda,Buddy Toys Produtos De Pet Shop Ltda,06248804000190,Buddy Toys Produtos De Pet Shop Ltda,nfe@buddytoys.com.br,(11) 5083-4075,SAO PAULO,SP,04127120,BOSQUE DA SAUDE,RUA SANTO IRINEU,,,Base de empresas Leads2b,Prospect,Não Enriquecido,Rayssa Karapeticov,,0,,10/11/2025,16:22:50,14/05/2026,15:26:19,,,WhatsappRayssa;fimzap,,,,,,,,
2780,Dona Chefa Artefatos De Aluminio Industria E Comercio Ltda,Dona Chefa Artefatos De Aluminio Industria E Comercio Ltda,19309173000114,Dona Chefa Artefatos De Aluminio Industria E Comercio Ltda,adm@adonachefa.com.br,(11) 2481-5521,GUARULHOS,SP,07224150,CIDADE INDUSTRIAL SATELITE SAO PAULO,RUA JOAO PEDRO BLUMENTHAL,,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,14/11/2025,16:33:32,20/05/2026,16:37:35,,,WhatsappRayssa;fimzap,,,,,,,,
2830,Imperial Home Importadora De Produtos Para O Lar Ltda,Imperial Home Importadora De Produtos Para O Lar Ltda,27522519000196,Imperial Home Importadora De Produtos Para O Lar Ltda,lider.sc@oclider.com.br,(47) 3241-1400,SAO JOSE,SC,88106537,FORQUILHAS,RUA FRANCISCO JOSE FERREIRA,GALPAO 03,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,19/11/2025,12:31:05,20/05/2026,16:37:35,,,WhatsappRayssa;fimzap,,,,,,,,
2832,Nature Flores Comercial Importadora E Exportadora Ltda,Nature Flores Comercial Importadora E Exportadora Ltda,05000437000300,Nature Flores Comercial Importadora E Exportadora Ltda,adiconta@uaivip.com.br,(31) 3412-0466,BELO HORIZONTE,MG,30720360,PADRE EUSTAQUIO,RUA HENRIQUE GORCEIX,,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,19/11/2025,12:34:42,20/05/2026,16:37:37,,,WhatsappRayssa;fimzap,,,,,,,,
2693,D&a Decoracao E Ambientacao Ltda,D&a Decoracao E Ambientacao Ltda,08749430000201,Raphaèl Battista,raphaelpereira312@hotmail.com,(81) 99938-3585,JABOATAO DOS GUARARAPES,PE,54355057,MURIBECA,RUA RIACHAO,GP B MODULO 2A 3A 4A 5A 6A 12A 14A 15,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,29/10/2025,17:27:24,20/05/2026,16:37:39,,,WhatsappRayssa,,,,,,,,
2783,Metalurgica Passala Ltda,Metalurgica Passala Ltda,09446216000150,Metalurgica Passala Ltda,contabildreher@foznet.com.br,(45) 3523-2381,FOZ DO IGUACU,PR,85869720,JARDIM DAS PALMEIRAS,RUA GUARUJA,,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,14/11/2025,16:35:04,20/05/2026,16:37:39,,,WhatsappRayssa;fimzap,,,,,,,,
2833,Rafaela Kipper Perez Ltda,Rafaela Kipper Perez Ltda,04742145000119,Rafaela Kipper Perez Ltda,jwkipper@itapanni.com.br,(47) 3368-4411,ITAPEMA,SC,88220000,JD PRAIAMAR,RUA 460,FUNDOS,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,19/11/2025,12:37:00,20/05/2026,16:37:39,,,WhatsappRayssa;fimzap,,,,,,,,
2786,Aramados Jomer Industria E Comercio Ltda,Aramados Jomer Industria E Comercio Ltda,06039749000129,Aramados Jomer Industria E Comercio Ltda,marcia@msscontabil.com.br,(11) 5051-1392,SAO PAULO,SP,05594130,JARDIM BONFIGLIOLI,R CLAUDIONOR ALVES BASTOS,LOJA 1,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,14/11/2025,16:35:52,20/05/2026,16:37:41,,,WhatsappRayssa;fimzap,,,,,,,,
2707,D L Festas Comercial Ltda,D L Festas Comercial Ltda,14471476000204,D L Festas Comercial Ltda,gerencia@dlfestas.com,(11) 3107-3322,NAVEGANTES,SC,88371890,VOLTA GRANDE,RODOVIA INGO HERING,SALA 06,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,30/10/2025,17:33:56,20/05/2026,16:37:42,,,WhatsappRayssa;fimzap,,,,,,,,
2835,Otima Comercio Atacadista De Produtos E Importadora Ltda,Otima Comercio Atacadista De Produtos E Importadora Ltda,32302659000199,Otima Comercio Atacadista De Produtos E Importadora Ltda,adriana@seularprodutos.com.br,(21) 2527-7272,RIO DE JANEIRO,RJ,23520241,SANTA CRUZ,ESTRADA DA PEDRA,LOT 10 PAL 21840 QDR 5,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,19/11/2025,12:38:43,20/05/2026,16:37:42,,,WhatsappRayssa;fimzap,,,,,,,,
2789,Fumil Limitada,Fumil Limitada,20161337000198,Fumil Limitada,null,(037) 2141-144,DIVINOPOLIS,MG,35502285,C.I.CEL.JOV.RABELO,R PREFEITO ANTONIO MARTINS GUIMARAES,,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,14/11/2025,16:37:33,20/05/2026,16:37:44,,,WhatsappRayssa;fimzap,,,,,,,,
2716,V. Madalozzo & Cia Ltda,V. Madalozzo & Cia Ltda,10257550000306,Thiago ,nfe@importadoracascavel.com.br,(45) 9103-2451,ITAJAI,SC,88316301,ITAIPAVA,AV ITAIPAVA,ARMZ 02 ANDAR 01,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,30/10/2025,17:47:07,20/05/2026,16:37:45,,,WhatsappRayssa,,,,,,,,
2841,Requia E Camargo Distribuidora De Utilidades Ltda,Requia E Camargo Distribuidora De Utilidades Ltda,05618882000177,Requia E Camargo Distribuidora De Utilidades Ltda,lcto@infoway.com.br,(55) 2231-635,SANTA MARIA,RS,97090590,JOAO GOULART,R FONTOURA ILHA,,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,21/11/2025,16:47:46,20/05/2026,16:37:45,,,WhatsappRayssa;fimzap,,,,,,,,
2791,Douglas Rossetti,Douglas Rossetti,13021385000115,Douglas Rossetti,adjcont@uol.com.br,(19) 3893-3333,PEDREIRA,SP,13920000,JARDIM TRIUNFO 79,RUA LUIZ PIRES DE FARIA,,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,14/11/2025,16:38:33,20/05/2026,16:37:46,,,WhatsappRayssa;fimzap,,,,,,,,
2722,Ying Fa Comercio Exterior Ltda.,Ying Fa Comercio Exterior Ltda.,08932421000162,Ying Fa Comercio Exterior Ltda.,robsondoria@predialnet.com.br,(21) 2771-2188,RIO DE JANEIRO,RJ,21040282,BONSUCESSO,RUA DA PROCLAMACAO,,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,31/10/2025,16:40:33,20/05/2026,16:37:47,,,WhatsappRayssa;fimzap,,,,,,,,
2845,Diceart Comercio De Porcelanas Ltda,Diceart Comercio De Porcelanas Ltda,00829520000101,Diceart Comercio De Porcelanas Ltda,compras@diceart.com.br,(47) 3344-3239,ITAJAI,SC,88307326,RESSACADA,RUA NIVALDO DETOIE,,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,21/11/2025,16:49:54,20/05/2026,16:37:48,,,WhatsappRayssa;fimzap,,,,,,,,
2792,Irmaos M.p.r Aluminio - Industria E Comercio Ltda,Irmaos M.p.r Aluminio - Industria E Comercio Ltda,07381234000175,Irmaos M.p.r Aluminio - Industria E Comercio Ltda,atendimento@mpaluminio.com.br,(11) 2754-2501,SAO PAULO,SP,08340290,JARDIM VILA CARRAO,RUA MACIEL ARANHA,,,Base de empresas Leads2b,Prospect,Enriquecido,Rayssa Karapeticov,,0,,14/11/2025,16:40:00,20/05/2026,16:37:49,,,WhatsappRayssa;fimzap,,,,,,,,
