ID Lead,Nome do Lead,Razão Social,CNPJ,Contato Principal,E-mail,Telefone,Cidade,Estado,CEP,Bairro,Complemento,Origem,Funil,Etapa do Funil,Status,Responsável,Data de Criação,Hora de Criação,Dias no Funil,Data de Perda,Motivo de Perda,ID Oportunidade,Status da Oportunidade,Data da Oportunidade,ID Cliente,Nome do Cliente,Razão Social Cliente,Data do Pedido,Valor do Pedido,TAGS,Código Externo,ID Lista,Atividade,Faturamento,Segmento,Nome Completo,Indique Ganhe
20,AMAZON TEMPER,AMAZON TEMPER,09177724000180,AMAZON TEMPER,jessicaflorintino@amazontemper.ind.br,85998053222,,,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,00:24:55,607,04/12/2024,Sem interesse após contato,,,,,,,,,Importado a partir de lista,,12,,,,Jéssica Florintino,
21,ALUSUPRA,ALUSUPRA,00756110000188,ALUSUPRA,gustavo@alusupra.com.br,4830868021,Palhoça,SC,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,00:24:55,607,03/12/2024,Fora do segmento atendido,,,,,,,,,Importado a partir de lista,,12,,,,,
22,DISTRIBUIDORA BIG,DISTRIBUIDORA BIG,9165609000195,DISTRIBUIDORA BIG,asoliveira@bigsupermercados.com.br,011257518001,ATIBAIA,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,01:10:03,602,19/11/2024,"Erro na construção da lista (ICP, Persona, Contatos)",,,,,,,,,Importado a partir de lista,,14,,,,,
23,R3P DISTRIBUIDORA - EIRELI,R3P DISTRIBUIDORA - EIRELI,18354840000118,R3P DISTRIBUIDORA - EIRELI,r3p.nfe@gmail.com; financeiro@r3pshop.com.br,1140638206,BARUERI,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,01:10:04,602,13/11/2024,Cliente não quer contato LGPD,,,,,,,,,Importado a partir de lista,,14,,,,,
24,JN DISTRIBUIDORA DE ARMARINHOS LTDA,JN DISTRIBUIDORA DE ARMARINHOS LTDA,5890038000109,JN DISTRIBUIDORA DE ARMARINHOS LTDA,jn.financeiro@hotmail.com,1432261303,BAURU,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,01:10:04,601,19/11/2024,Nossa solução não atende,,,,,,,,,Importado a partir de lista,,14,,,,,
25,DISTRIBUIDORA ARANTES LTDA,DISTRIBUIDORA ARANTES LTDA,27674798000103,DISTRIBUIDORA ARANTES LTDA,distribuidorauniao2012@gmail.com,1897038983,BAURU,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,01:10:04,607,19/11/2024,"Erro na construção da lista (ICP, Persona, Contatos)",,,,,,,,,Importado a partir de lista,,14,,,,,
26,DISTRIBUIDORA DE PRODUTOS DE LIMPEZA SAO BENEDITO,DISTRIBUIDORA DE PRODUTOS DE LIMPEZA SAO BENEDITO,27295556000109,DISTRIBUIDORA DE PRODUTOS DE LIMPEZA SAO BENEDITO,sbprodlimpeza@hotmail.com,1733430505,BEBEDOURO,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,01:10:04,601,19/11/2024,Nossa solução não atende,,,,,,,,,Importado a partir de lista,,14,,,,,
27, ,DISTRIBUIDORA CANTO MAGICO EIRELI,33185203000159,Renato,contato@cantomagicobertioga.com,(13) 99747-1554,BERTIOGA,SP,,,,Outbound,Fluxo Padrão,Nutir,Em andamento,Rayssa Karapeticov,07/11/2024,01:10:04,48,,,,,,,,,,,WhatsappRayssa,,14,,,,,
28,DISTRIBUIDORA DE BEBIDAS LITORAL NORTE,DISTRIBUIDORA DE BEBIDAS LITORAL NORTE,18318587000147,DISTRIBUIDORA DE BEBIDAS LITORAL NORTE,mercadolitoral@outlook.com.br,1333171410,BERTIOGA,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,01:10:04,602,19/11/2024,"Erro na construção da lista (ICP, Persona, Contatos)",,,,,,,,,Importado a partir de lista,,14,,,,,
29,MERCOSUL STORE,MERCOSUL STORE,36348595000541,MERCOSUL STORE,sac@mercosulstore.com,(21) 3770-5571,Nova Iguaçu,RJ,26285-000,Centro,20676,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,01:10:04,602,26/11/2024,Não quer mudar a solução atual,,,,,,,,,Importado a partir de lista,,14,,,,,
30,PLENITUDE DISTRIBUIDORA,PLENITUDE DISTRIBUIDORA,24935400000157,PLENITUDE DISTRIBUIDORA,hugo@plenitudedistribuidora.com.br,1940426336,CAMPINAS,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,01:10:04,602,21/11/2024,Nossa solução não atende,,,,,,,,,Importado a partir de lista,,14,,,,,
31,DISTRIBUIDORA AVANCI BRASIL,Distribuidora Avanci Brasil,04031349000141,DISTRIBUIDORA AVANCI BRASIL,avancibrasil@uol.com.br,(17) 3522-3926,CATANDUVA,SP,15.809-215,JARDIM SANTA HELENA,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,01:10:04,603,21/11/2024,Nossa solução não atende,,,,,,,,,Importado a partir de lista,,14,,,,,
5,Lojas Colombo Sa Comercio De Utilidades Domesticas,Lojas Colombo,89848543000177,Lojas Colombo Sa Comercio De Utilidades Domesticas,flori@colombo.com.br,(54) 3268-8300,FARROUPILHA,RS,95176030,SAO ROQUE,,Base de empresas Leads2b,Fluxo Padrão,Qualificação,Em andamento,Fernanda Santiago,07/11/2024,09:54:19,607,,,,,,,,,,,,,3,,,,,
32,Luiz / Tiago,Altenburg,05472689000170,Luiz / Tiago,luiz@altenburg.com.br,(47) 99969-1232,,,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Débora Duarte,07/11/2024,09:59:14,603,26/11/2024,Não quer mudar a solução atual,,,,,,,,,,,,,,,Luiz Carlos de Souza,
38,Alex,Tron Ventiladores,,Alex,ALEX@TRON.IND.BR,(17) 99137-7617,,,,,,,Fluxo Padrão,Nutir,Em andamento,Rayssa Karapeticov,07/11/2024,13:52:27,509,,,,,,,,,,,,,,,,,,
258,CORPORAÇÃO DE OFICIOS,CORPORAÇÃO DE OFICIOS,04007743000144,CORPORAÇÃO DE OFICIOS,contato@corporacaodeoficios.com.br,1155310219,SÃO PAULO - SP,SP,,,,Outbound,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,12:51:46,569,,,,,,,,,,,Importado a partir de lista;NUTRIR,,41,,,,,
259,CORTBRAS,CORTBRAS,07790424000146,Rubens ,loja@cortbras.com.br,(47) 99782-8621,Rio Do Sul - SC,SC,,,,Outbound,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,12:51:46,481,,,,,,,,,,,Importado a partir de lista;NUTRIR;msgabupfevereiro2025;TAG1SEM;TAG2SEM;TAG3SEM;FimEmailOutbound;TAG4SEM,,41,,,,,
260,CORTTEX,CORTTEX,48606503000808,Martinelli,martinelli@corttex.com.br,1921097700,Americana - SP,SP,,,,Outbound,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,12:51:46,569,,,,,,,,,,,Importado a partir de lista;NUTRIR,,41,,,,,
261,COUSELO,COUSELO,55972019000191,Leonardo,leonardo@couselo.com.br,(11) 94802-9728,SÃO PAULO - SP,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Fernanda Santiago,18/11/2024,12:51:46,517,17/02/2025,Contato já é cliente com dúvida / direcionado ao suporte,,,,,,,,,Importado a partir de lista;NUTRIR;msgabupfevereiro2025;TAG1SEM;TAG2SEM,,41,,,,,
262,Leticia,COZILLAR,37096663000161,Leticia,PRATAMETAIS@GMAIL.COM,19998986444,Araras - SP,SP,,,,Outbound,Fluxo Padrão,Conectados Com Interesse (MQL),Perdido,Fernanda Santiago,18/11/2024,12:51:46,523,06/02/2025,"Erro na construção da lista (ICP, Persona, Contatos)",,,,,,,,,Importado a partir de lista;TAG1SEM;TAG2SEM,,41,,,,,
263,CRISTALERIA SAN CARLOS,CRISTALERIA SAN CARLOS,05822133000167,CRISTALERIA SAN CARLOS,contato@sancarlos.com.br,11987942228,SÃO PAULO - SP,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Fernanda Santiago,18/11/2024,12:51:46,596,12/12/2024,Fora do porte mínimo (sem fite estrutural),,,,,,,,,Importado a partir de lista;NUTRIR,,41,,,,,
264,CRISTAIS TAVARES,CRISTAIS TAVARES,48996931000118,CRISTAIS TAVARES,faleconosco@cristaistavares.com.br,(47) 3232-1875,Pomerode - SC,SC,,,,Outbound,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,12:51:46,572,,,,,,,,,,,Importado a partir de lista;NUTRIR;msgabupfevereiro2025,,41,,,,,
265,ATELIE CRISTINA DUARTE,ATELIE CRISTINA DUARTE,53218524000110,ATELIE CRISTINA DUARTE,cristinaduartebr@yahoo.com.br,31985074000,Belo Horizonte - MG,MG,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Fernanda Santiago,18/11/2024,12:51:47,596,22/11/2024,Fora do porte mínimo (sem fite estrutural),,,,,,,,,Importado a partir de lista;NUTRIR;SDRInbound,,41,,,,,
266,GLAUCIA MORENO,GLAUCIA MORENO,11961008000130,GLAUCIA MORENO,contato@cupulariaglauciamoreno.com.br,11960625220,São Paulo - SP,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Fernanda Santiago,18/11/2024,12:51:47,596,25/11/2024,Fora do porte mínimo (sem fite estrutural),,,,,,,,,Importado a partir de lista,,41,,,,,
267,DHAGER,DHAGER,65622060000191,DHAGER,dagher@dagher.com.br,1138653939,São Paulo - SP,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Fernanda Santiago,18/11/2024,12:51:47,596,15/01/2025,Fora do segmento atendido,,,,,,,,,Importado a partir de lista;TAG1SEM;TAG2SEM;TAG3SEM;FimEmailOutbound;TAG4SEM,,41,,,,,
268,EDAN,EDAN,16669045000274,Geraldo,Geraldo@edantex.com.br,1133853315,Cambui - MG,MG,,,,Outbound,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,12:51:47,569,,,,,,,,,,,Importado a partir de lista;NUTRIR,,41,,,,,
269,EDDI CASA,EDDI CASA,24870219000100,Bruno,comercial@eddicasa.com,16981306453,Ibitinga - SP,SP,,,,Outbound,Fluxo Padrão,Conectados Com Interesse (MQL),Ganho,Fernanda Santiago,18/11/2024,12:51:47,588,,,88,Perdido,27/11/2024,,,,,,Importado a partir de lista,,41,,,,,
270,ETRURIA,ETRURIA,45723541000186,ETRURIA,etruria@etruria.com.br,1147188700,Mairinque - SP,SP,,,,Outbound,Fluxo Padrão,Conectados Com Interesse (MQL),Ganho,Fernanda Santiago,18/11/2024,12:51:47,593,,,148,Perdido,08/01/2025,,,,,,Importado a partir de lista,,41,,,,,
271,LA TERMOPLASTIC,LA TERMOPLASTIC,01608977000159,Marcio,marcio.domingues@fbmsa.com.br,1533638050,Sorocaba - SP,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Fernanda Santiago,18/11/2024,12:51:47,596,15/01/2025,Contato já é cliente com dúvida / direcionado ao suporte,,,,,,,,,Importado a partir de lista;TAG1SEM;TAG2SEM;TAG3SEM;FimEmailOutbound;TAG4SEM,,41,,,,,
272,FIBRASCA,FIBRASCA,80662315000133,Gilson Cristiano,gilson@fibrasca.com.br,(47) 3481-3400,Joinville - SC,SC,,,,Outbound,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,12:51:47,569,,,,,,,,,,,Importado a partir de lista;NUTRIR,,41,,,,,
273,FLAVIA SIMON,FLAVIA SIMON,05354335000121,FLAVIA SIMON,flavia@flaviasimons.com.br,1138129798,SÃO PAULO - SP,SP,,,,Outbound,Fluxo Padrão,Atividades,Perdido,Fernanda Santiago,18/11/2024,12:51:47,596,27/11/2024,Fora do porte mínimo (sem fite estrutural),,,,,,,,,Importado a partir de lista,,41,,,,,
279,Rafael,TRIOPLAST,61292355000196,Rafael,trioplast.plasticos@hotmail.com,(11) 4024-2073,ITU,SP,13306300,RANCHO GRANDE,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,15:33:23,569,,,,,,,,,,,NUTRIR,,43,,,,,
283,Aluminio Cinco Estrelas Ltda,Aluminio Cinco Estrelas Ltda,84938794000390,Aluminio Cinco Estrelas Ltda,fiscal@aluminiocincoestrelas.com.br,(46) 3527-3294,ITAJAI,SC,88302110,CENTRO,CASA 2 BOX 97,Base de empresas Leads2b,Fluxo Padrão,Atividades,Perdido,Débora Duarte,18/11/2024,15:48:54,595,04/12/2024,Não quer mudar a solução atual,,,,,,,,,,,44,,,,,
284,Cadplast Industria E Comercio De Plastico Ltda,Cadplast,67308635000121,Cadplast Industria E Comercio De Plastico Ltda,crcontabilistas@terra.com.br,(19) 3233-2143,SAO PAULO,SP,02123050,VILA MARIA,531,Base de empresas Leads2b,Fluxo Padrão,Qualificação,Perdido,Débora Duarte,18/11/2024,16:08:40,574,10/12/2024,Sem interesse após contato,,,,,,,,,NUTRIR,,45,,,,,
287,Filipe Geminiano,Comercial Lucar,06369673000108,Filipe Geminiano,filipe.geminiano@comerciallucar.com.br,(49) 99128-6449,GRAVATAI,RS,94230010,IPIRANGA I (IPIRANGA),GALPAO01 PAVLH 19 E 20,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:17:45,569,,,,,,,,,,,NUTRIR,,47,,,,,
293,Comercial Textil Store Ecommerce Unipessoal Ltda,Comercial Textil,34163574000100,Nathanael Siqueira,contato@comercialtextilstore.com.br,(35) 99149-3784,BORDA DA MATA,MG,37564000,SANTA RITA,,Base de empresas Leads2b,Fluxo Padrão,Atividades,Perdido,Débora Duarte,18/11/2024,17:26:50,568,17/12/2024,Sem interesse após contato,,,,,,,,,TAG1SEM,,48,,,,,
295,Decorplast Pedreira Industria E Comercio Ltda,DECORPLAST PEDREIRA,47568358000189,Karen,karendecorplast@hotmail.com,(19) 99998-1483,PEDREIRA,SP,13920000,DIST. IND. PREF. JOSE CARLOS LENA,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:29:51,564,,,,,,,,,,,TAG1SEM,,49,,,,,
297,Denise,Dekker Distribuidora,41349717000120,Denise,dekkerdistribuidora@gmail.com,(19) 98338-5360,LINDOIA,SP,13950000,CENTRO,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:30:28,569,,,,,,,,,,,NUTRIR,,50,,,,,
299,Dulcineia,DPLASTIK,35250457000139,Dulcineia,dplastik.23@gmail.com,(11) 99524-8115,,,,,,Outbound,Fluxo Padrão,Qualificação,Perdido,Débora Duarte,18/11/2024,17:33:07,574,11/12/2024,Sem interesse após contato,,,,,,,,,NUTRIR,,,,,,Dulcineia Bueno,
301,Fabrica De Elasticos Sao Jose Ltda,Fabrica De Elasticos Sao Jose Ltda,53859989000150,Fabrica De Elasticos Sao Jose Ltda,elastsaojose@uol.com.br,(19) 3893-1339,PEDREIRA,SP,13920000,CASCALHO,KM 54 5,Base de empresas Leads2b,Fluxo Padrão,Atividades,Perdido,Débora Duarte,18/11/2024,17:34:15,593,04/12/2024,Contato já é cliente com dúvida / direcionado ao suporte,,,,,,,,,,,51,,,,,
304,Jrf Imports Comercial Ltda,FOLIA IMPORTS,17221991000135,Jrf Imports Comercial Ltda,junior@jrflog.com.br,(19) 3662-1414,CACONDE,SP,13770000,VARZEA,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:38:20,569,,,,,,,,,,,NUTRIR,,53,,,,,
307,Four Plastic Matrizes E Plasticos Ltda,FOUR PLASTIC,00684309000148,Osvaldo,contato@fourplastic.com.br,(11) 98655-0103,LIMEIRA,SP,13486437,JARDIM CELINA,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:39:05,545,,,,,,,,,,,TAG1SEM;TAG2SEM;TAG3SEM;FimEmailOutbound;TAG4SEM,,54,,,,,
310,Funfestas Industria E Comercio De Artigos Para Festas Ltda,FUNFESTAS,14144663000194,Funfestas Industria E Comercio De Artigos Para Festas Ltda,atendimento@funfestas.com.br,(11) 2702-5769,SAO PAULO,SP,03910070,JARDIM CATARINA,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:39:42,569,,,,,,,,,,,NUTRIR,,55,,,,,
315,Homeplas Industria E Comercio De Plasticos Ltda,HOMEPLAS,11252440000152,Ed Carlos Oliveira,comercial@homeplas.com.br,(19) 3852-4204,PEDREIRA,SP,13922110,CASCALHO,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:41:39,569,,,,,,,,,,,NUTRIR,,56,,,,,
317,Ice By Nice Industria E Comercio De Produtos Alimenticios Ltda,ICE BY NICE,02205841000160,Ice By Nice Industria E Comercio De Produtos Alimenticios Ltda,financeiro@icebynice.com.br,(16) 4042-7500,JABOTICABAL,SP,14870040,CENTRO,,Base de empresas Leads2b,Fluxo Padrão,Qualificação,Perdido,Débora Duarte,18/11/2024,17:42:59,574,10/12/2024,Não é o momento certo,,,,,,,,,NUTRIR,,57,,,,,
319,Jxp Brink Ltda,JXP BRINK,24188769000143,Jxp Brink Ltda,nfe@jxpbrink.com.br,(15) 3228-2210,SOROCABA,SP,18085750,RETIRO SAO JOAO,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:44:27,569,,,,,,,,,,,NUTRIR,,58,,,,,
322,Industria Metalurgica Mca Ltda,Industria Metalurgica MCA,46409892000180,Industria Metalurgica Mca Ltda,joaquimcpavao@uol.com.br,(19) 3893-3833,PEDREIRA,SP,13920000,SANTA CRUZ,,Base de empresas Leads2b,Fluxo Padrão,Atividades,Perdido,Débora Duarte,18/11/2024,17:45:03,593,27/11/2024,Não quer mudar a solução atual,,,,,,,,,,,59,,,,,
325,Lopes Artefatos De Baquelite Ltda,Lopes Artefatos De Baquelite Ltda,50067388000116,Fabricio Campaci,,(19) 99646-0326,PEDREIRA,SP,13920000,VILA CANESSO,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:45:32,545,,,,,,,,,,,TAG1SEM;TAG2SEM;FimEmailOutbound;TAG3SEM;TAG4SEM;NUTRIR,,60,,,,,
327,Lig Brink Industria E Comercio De Plasticos Ltda,LIG BRIN,03225481000393,Lig Brink Industria E Comercio De Plasticos Ltda,falgat@terra.com.br,(11) 4529-7023,CABREUVA,SP,13317234,PINHAL,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:46:15,569,,,,,,,,,,,NUTRIR,,61,,,,,
328,Pedro De Carlos,Distribuidora Mad Lar,30293876000134,Pedro De Carlos,vendas@madlar.com.br,(19) 9866-1865,PEDREIRA,SP,13920000,CASCALHO,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:48:28,569,,,,,,,,,,,NUTRIR,,62,,,,,
329,Make Plast Industria E Comercio De Artefatos Plasticos Ltda,MAKE PLAST,24247668000104,Make Plast Industria E Comercio De Artefatos Plasticos Ltda,cintia.serrano48@gmail.com,(19) 9619-3933,PEDREIRA,SP,13928550,DISTRITO INDUSTRIAL AMERICO PIERRI,BLOCO A,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:49:52,569,,,,,,,,,,,NUTRIR,,63,,,,,
331,Mar Girius Continental Industria De Cont Eletricos Ltda,MARGIRIUS,61093001000112,Mar Girius Continental Industria De Cont Eletricos Ltda,kcruz@margirius.com.br,(19) 3589-5013,PORTO FERREIRA,SP,13660196,VILA NOVA,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:50:46,569,,,,,,,,,,,NUTRIR,,64,,,,,
335,Mdl Comercio E Importacao Ii Ltda,MDL IMPORT,39750889000160,Michele Refundini,comercial@mdlimport.com.br,(19) 98356-7440,SAO PAULO,SP,03107002,PARQUE DA MOOCA,GALPAO.,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:53:30,569,,,,,,,,,,,NUTRIR,,65,,,,,
337,Pedreira Gestao De Negocios Ltda,Pedreira Utilidades,39608334000188,Pedreira Gestao De Negocios Ltda,legalizacao1@reorgcontabil.com.br,(11) 2548-2880,PEDREIRA,SP,13920000,CASCALHO,,Base de empresas Leads2b,Fluxo Padrão,Atividades,Perdido,Débora Duarte,18/11/2024,17:53:30,593,26/11/2024,Fora do segmento atendido,,,,,,,,,,,65,,,,,
339,Multineos Comercio De Variedades Ltda,MULTINEOS,40355318000100,Multineos Comercio De Variedades Ltda,shijiasun1@gmail.com,(11) 95856-7777,SAO PAULO,SP,03032020,CANINDE,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:54:11,569,,,,,,,,,,,NUTRIR,,66,,,,,
341,Plasbrink Embalagens Plasticas Ltda,PlasBrink,00221294000181,Plasbrink Embalagens Plasticas Ltda,falgat@terra.com.br,(11) 4529-7023,CABREUVA,SP,13318076,JACARE,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,17:55:46,545,,,,,,,,,,,TAG1SEM;TAG2SEM;FimEmailOutbound;TAG3SEM;TAG4SEM,,67,,,,,
344,Sulplast Industria Ltda,SULPLAST INDUSTRIA LTDA,51921277000198,Lucas,lucasnewway@gmail.com,(88) 98114-7695,JUAZEIRO DO NORTE,CE,63047224,PLANALTO,LETRA A,Base de empresas Leads2b,Fluxo Padrão,Conectados Com Interesse (MQL),Ganho,Débora Duarte,18/11/2024,17:57:30,592,,,89,Perdido,27/11/2024,,,,,,,,68,,,,,
347,Real Especialidades Texteis Ltda,Real Especialidades Texteis Ltda,53859526000198,Real Especialidades Texteis Ltda,null,,PEDREIRA,SP,13920000,CENTRO,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,18/11/2024,18:00:28,473,,,,,,,,,,,DLicençaMaternidade,,69,,,,,
349,Industria E Comercio De Utensilios Prime Plas Ltda,Primeplas,52803539000182,Industria E Comercio De Utensilios Prime Plas Ltda,contabil@jzonline.com.br,(19) 3807-9414,PEDREIRA,SP,13920000,DISTRITO INDUSTRIAL AMERICO PIERRI,,Base de empresas Leads2b,Fluxo Padrão,Atividades,Perdido,Débora Duarte,19/11/2024,08:34:06,593,03/12/2024,Fora do segmento atendido,,,,,,,,,,,70,,,,,
351,Renovaplast Plasticos Ltda,Renovaplas Plásticos,04327098000147,Renovaplast Plasticos Ltda,plasticos.adm@gmail.com,(49) 9944-2150,XANXERE,SC,89820000,INTERIOR,,Base de empresas Leads2b,Fluxo Padrão,Atividades,Perdido,Débora Duarte,19/11/2024,08:34:53,593,26/11/2024,Fora do segmento atendido,,,,,,,,,,,71,,,,,
353,Rra Comercio De Utilidades Domesticas Ltda.,RRA UTILIDADES,20877376000196,RODRIGO PEDROSO,vendasonline@rrautilidades.com.br,(19) 99832-5202,PEDREIRA,SP,13920000,JARDIM ANDRADE,,Base de empresas Leads2b,Fluxo Padrão,Nutir,Em andamento,Paulo Souza,19/11/2024,08:36:58,569,,,,,,,,,,,NUTRIR,,72,,,,,
